Team,Legacy,FaZe,B8,GamerLegion,fnatic,PARIVISION,Ninjas in Pyjamas,Imperial,FlyQuest,Lynn Vision,M80,Fluxo,RED Canids,The Huns,NRG,Rare Atom
Legacy,,,,,,,,,0.68,,,,,,,
FaZe,,,,,,,,,,0.41,,,,,,
B8,,,,,,,,,,,0.57,,,,,
GamerLegion,,,,,,,,,,,,0.82,,,,
fnatic,,,,,,,,,,,,,0.8,,,
PARIVISION,,,,,,,,,,,,,,0.92,,
Ninjas in Pyjamas,,,,,,,,,,,,,,,0.75,
Imperial,,,,,,,,,,,,,,,,0.69
FlyQuest,,,,,,,,,,,,,,,,
Lynn Vision,,,,,,,,,,,,,,,,
M80,,,,,,,,,,,,,,,,
Fluxo,,,,,,,,,,,,,,,,
RED Canids,,,,,,,,,,,,,,,,
The Huns,,,,,,,,,,,,,,,,
NRG,,,,,,,,,,,,,,,,
Rare Atom,,,,,,,,,,,,,,,,
